street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Hagagatan,2.5,71,Lägenhet, Vasastan Odenplan,nov,2019,6149479,2,1904,6500000
Upplandsgatan,2,61,Lägenhet, Vasastan Odenplan,dec,2019,5250000,2,1904,5450000
Norrbackagatan,2,59,Lägenhet, Vasastan Birkastan,nov,2019,4949121,2,1884,5350000
Tomtebogatan,2,37,Lägenhet, Vasastan Birkastan,sep,2018,3400174,2,1884,3900000
Värtavägen,1,28,Lägenhet, Östermalm Gärdet,dec,2019,2550120,2,1884,3180000
Porlabacken,3,70,Lägenhet, Hagsätra,dec,2019,1875000,2,1884,1860000
Artillerigatan,2,45,Lägenhet, Östermalm,dec,2019,4995617,2,1884,5700000
Stora,108,37,Villa, Norra Ängby,sep,2019,7991021,2,1884,7120000
Kärvbacken,89,112,Villa, Sundby,okt,2019,4976525,2,1884,5300000
Blomsterkungsvägen,117,10,Radhus, Hässelby Backlura,nov,2019,3994225,2,1884,4150000
Sankt,1.5,37,Lägenhet, Vasastan,dec,2019,3494623,2,1884,3900000
Mitisgatan,2,35,Lägenhet, Kungsholmen,dec,2019,2994483,2,1884,3800000
Skeppargatan,2,44,Lägenhet, Östermalm Nedre Gärdet,dec,2019,3596330,2,1884,3920000
Rörstrandsgatan,3,91,Lägenhet, Vasastan,dec,2019,8246977,2,1884,9550000
Responsgatan,1,34,Lägenhet, Telefonplan,dec,2019,2793952,2,1884,2495000
Atlasgatan,1,27,Lägenhet, Vasastan,dec,2019,2896015,2,1884,2980000
Tallbacksvägen,2,55,Lägenhet, Bromma Ulvsunda,dec,2019,2449324,2,1884,2900000
Södra,2,65,Lägenhet, Kungsholmen,dec,2019,5495000,2,1884,6500000
Responsgatan,1,35,Lägenhet, Telefonplan,dec,2019,2295000,1,1957,2295000
Döbelnsgatan,1,30,Lägenhet, Vasastan,dec,2019,2749196,1,1957,3420000
Responsgatan,1,34,Lägenhet, Telefonplan,dec,2019,2250000,1,1957,2250000
Responsgatan,1,35,Lägenhet, Telefonplan,dec,2019,2345000,1,1957,2345000
Sandhamnsgatan,1,33,Lägenhet, Gärdet,dec,2019,2800000,1,1957,2800000
Hornsgatan,1,42,Lägenhet, Högalid,dec,2019,3148854,1,1957,3300000
Mirabellbacken,1,33,Lägenhet, Hässelby-Vällingby,dec,2019,1095000,1,1957,1600000
Maltesholmsvägen,2,46,Lägenhet, Hässelby-Vällingby,nov,2019,1874462,2,1954,2180000
Rissnavägen,3,80,Lägenhet, Spånga,nov,2019,1574803,2,1954,1600000
Astrakangatan,2,60,Lägenhet, Hässelby-Vällingby,nov,2019,1794763,2,1954,2125000
Östersundsgatan,4,91,Lägenhet, Hässelby-Vällingby,nov,2019,3195488,2,1954,3400000
Rabattvägen,3,70,Lägenhet, Hässelby-Vällingby,nov,2019,2294792,2,1954,2600000
Vittangigatan,1.5,32,Lägenhet, Hässelby-Vällingby,nov,2019,1695298,2,1954,1875000
Mörsilsgatan,3.5,80,Lägenhet, Hässelby-Vällingby,nov,2019,2695000,2,1954,3000000
Maltesholmsvägen,2.5,60,Lägenhet, Hässelby-Vällingby,dec,2019,2100000,5,2012,2100000
Strahlenbergsgatan,2,47,Lägenhet, Johanneshov,dec,2019,2394757,5,2012,3015000
Grev,2,46,Lägenhet, Östermalm,dec,2019,4625000,5,2012,4625000
Grevgatan,2,57,Lägenhet, Östermalm,dec,2019,5675909,5,2012,6550000
Kristinebergsvägen,2,46,Lägenhet, Kungsholmen,dec,2019,3194103,5,2012,3900000
Storsjövägen,2,52,Lägenhet, Årsta,dec,2019,2495726,5,2012,2920000
Alströmergatan,2,45,Lägenhet, Kungsholmen Fridhemsplan,dec,2019,2450090,5,2012,4050000
Folkparksvägen,2,56,Lägenhet, Solberga,dec,2019,1995114,5,2012,2450000
Kungsbro,1,34,Lägenhet, Kungsholmen,dec,2019,2795652,5,2012,3215000
Tellusborgsvägen,1.5,36,Lägenhet, Midsommarkransen,dec,2019,2195000,5,2012,2850000
Rindögatan,1,23,Lägenhet, Gärdet,dec,2019,2095375,3,1968,2900000
Björkbacksvägen,2,47,Lägenhet, Bromma,dec,2019,1994818,3,1968,2310000
Stadingeplan,3.5,77,Lägenhet, Spånga-Tensta,dec,2019,1595000,3,1968,1900000
Högalidsgatan,1,25,Lägenhet, Södermalm-Högalid,dec,2019,2700507,3,1938,2660000
Skönviksvägen,1,32,Lägenhet, Enskede,dec,2019,2380952,3,1938,2000000
Broddgränd,2,58,Lägenhet, Västertorp,dec,2019,2195526,3,1938,2650000
Tivolivägen,2,53,Lägenhet, Västberga,dec,2019,2194092,3,1938,2600000
Båstadsvägen,4,91,Lägenhet, Johanneshov,dec,2019,4495000,3,1938,4495000
Gamla,1,39,Lägenhet, Örby-Älvsjö,dec,2019,2100000,3,1938,2100000
Ellen,2,55,Lägenhet, Fruängen,dec,2019,2195000,3,1938,2820000
Sankt,1,31,Lägenhet, Kungsholmen,dec,2019,2849740,1,1938,3300000
Roslagsgatan,2,68,Lägenhet, Vasastan,dec,2019,6252345,1,1938,6665000
Alströmergatan,1,32,Lägenhet, Kungsholmen,dec,2019,2450495,1,1938,2970000
Flintbacken,2,36,Lägenhet, Södermalm Högalid,dec,2019,2795698,1,1938,3120000
Sandfjärdsgatan,4,92,Lägenhet, Årsta,dec,2019,3495860,1,1938,3800000
Svalövsvägen,2,58,Lägenhet, Björkhagen,dec,2019,2950043,1,1938,3425000
Elias,2,49,Lägenhet, Bromma Blackeberg,dec,2019,1994906,1,1938,2350000
Johan,2,46,Lägenhet, Hammarbyhöjden,dec,2019,1950000,1,1938,2610000
Gullmarsvägen,3,70,Lägenhet, Årsta,dec,2019,4593301,2,2006,4800000
Stramaljvägen,2,51,Lägenhet, Bromma Riksby,dec,2019,2495874,2,2006,3025000
Disponentgatan,1,25,Lägenhet, Kungsholmen,dec,2019,1995708,2,2006,2325000
Solskensbrinken,7,136,Villa, Spånga Solhöjden,dec,2019,4450084,2,2006,5260000
Pippi,2,49,Lägenhet, Bromma,dec,2019,2495462,2,2006,2750000
Brännkyrkagatan,1,26,Lägenhet, Södermalm,dec,2019,2395209,2,2006,2800000
Isbergavägen,5,125,Parhus, Herrängen-Älvsjö,dec,2019,5996258,2,2006,6410000
Bågljusvägen,3,82,Lägenhet, Kungsholmen,dec,2019,5250000,2,2006,6000000
Rindögatan,3,75,Lägenhet, Gärdet,dec,2019,6492335,1,1969,7200000
John,1,32,Lägenhet, Kungsholmen,dec,2019,2875243,1,1969,2950000
Virkesvägen,2,56,Lägenhet, Hammarby Sjöstad,dec,2019,3600000,1,1969,3600000
Drottninggatan,2,65,Lägenhet, Vasastan,dec,2019,5951219,1,1969,6100000
Grev,2,64,Lägenhet, Östermalm,nov,2019,5994236,1,1969,6240000
Torsgatan,2,49,Lägenhet, Vasastan,okt,2019,4373963,1,1969,5275000
Skebokvarnsvägen,3,74,Lägenhet, Högdalen,dec,2019,2801169,1,1969,2395000
Värdshusbacken,9,221,Villa, Essingeöarna,nov,2019,32008830,1,1969,29000000
Förlandagränd,2,71,Lägenhet, Östberga,dec,2019,1795000,1,1969,2410000
Fleminggatan,3,78,Lägenhet, Kungsholmen,dec,2019,6548387,1,2004,6090000
Linnégatan,3,60,Lägenhet, Östermalm,dec,2019,6250000,1,2004,6200000
Kransbindarvägen,1,35,Lägenhet, Telefonplan,dec,2019,2195318,1,2004,2720000
Värstagårdsvägen,3,75,Lägenhet, Spånga Solhem,dec,2019,2775000,1,2004,3000000
Norra,2,53,Lägenhet, Vasastan,dec,2019,5450049,1,2004,5510000
Kungsklippan,2,45,Lägenhet, Kungsholmen,dec,2019,4051282,1,2004,3950000
Skärmarbrinksvägen,2,43,Lägenhet, Johanneshov,dec,2019,2499999,1,2004,2800000
Stenkvistavägen,2,46,Lägenhet, Högdalen,dec,2019,2094594,1,2004,2325000
Hälsingegatan,2,53,Lägenhet, Vasastan,dec,2019,4493731,1,2004,4660000
Mejselvägen,5,95,Lägenhet, Hägerstensåsen,dec,2019,4251012,1,2004,4200000
Svartviksslingan,3,60,Lägenhet, Bromma,dec,2019,2893890,1,2004,3600000
Midskeppsgatan,2,46,Lägenhet, Hammarby Sjöstad,dec,2019,3100000,1,2004,3040000
Midskeppsgatan,4,102,Lägenhet, Hammarby Sjöstad,nov,2019,6753006,2,2016,7300000
Liljeholmsbron,2,53,Lägenhet, Södermalm,dec,2019,3249525,2,2016,3425000
Sällhetsvägen,4,81,Radhus, Backlura,dec,2019,2995000,2,2016,3350000
Sällhetsvägen,5,95,Radhus, Hässelby,dec,2019,3393665,2,1924,3750000
Hundlokegränd,2,54,Lägenhet, Hässelby-Vällingby,nov,2019,1895196,2,1924,2170000
Fanérvägen,84,34,Radhus, Enskede,nov,2019,6493506,2,1924,7000000
Lundagårdsvägen,170,100,Villa, Spånga Solhem,nov,2019,8773424,2,1924,10300000
Hörningsholmsvägen,139,18,Villa, Älvsjö Örby Slott,dec,2019,5992329,2,1924,6250000
Skattegårdsvägen,287,110,Villa, Vinsta,nov,2019,6973684,2,1924,7420000
Assessorsgatan,2,68,Lägenhet, Södermalm,dec,2019,5250000,2,1924,5600000
Engelbrektsgatan,4,134,Lägenhet, Östermalm,nov,2019,13902053,3,2019,17600000
Dalkärrsleden,7,126,Radhus, Vällingby Nälsta,dec,2019,4075342,3,2019,4760000
Slätbaksvägen,2,45,Lägenhet, Årsta,dec,2019,2295652,3,2019,2640000
Förmansvägen,3,79,Lägenhet, Liljeholmskajen,dec,2019,4793008,3,2019,5210000
Förmansvägen,3,79,Lägenhet, Liljeholmskajen,dec,2019,4793008,3,2019,5210000
Arbetargatan,2,49,Lägenhet, Kungsholmen,dec,2019,3495311,3,2019,4100000
Gösta,1,30,Lägenhet, Axelsberg,dec,2019,1695692,3,2019,1850000
Karlaplan,2,65,Lägenhet, Östermalm,dec,2019,6001936,3,2019,6200000
Grevgatan,2,59,Lägenhet, Östermalm,dec,2019,5892337,3,2019,6075000
Finngrundsvägen,2,61,Lägenhet, Blåsut,dec,2019,2995283,3,2019,3810000
Kungsbro,1,25,Lägenhet, Kungsholmen,nov,2019,2495201,3,2019,2600000
Jämtlandsgatan,2,66,Lägenhet, Vällingby Parkstad,dec,2019,2495000,3,2019,2780000
Prästgårdsgränd,2,63,Lägenhet, Älvsjö Centrum,dec,2019,2095316,3,2009,2550000
Forshagagatan,3,77,Lägenhet, Farsta,nov,2019,2395918,3,2009,2935000
Kolbäcksgränd,2,58,Lägenhet, Bagarmossen,dec,2019,2394106,3,2009,2600000
Folkparksvägen,3,76,Lägenhet, Älvsjö,jun,2019,3193717,3,2009,3050000
Kristallvägen,1,27,Lägenhet, Älvsjö Solberga,okt,2018,1775147,3,2009,1800000
Gustaf,2,69,Lägenhet, Långbro Park,okt,2018,2994157,3,2009,3075000
Drevkroken,5,150,Villa, Spånga,dec,2019,6850000,3,2009,6850000
Metronomgatan,5,119,Lägenhet, Telefonplan,okt,2019,5950000,3,2009,6890000
Celsiusgatan,1,25,Lägenhet, Kungsholmen,dec,2019,2449133,11,2019,3250000
Valutavägen,1,38,Lägenhet, Hägerstensåsen,sep,2019,1995012,11,2019,2400000
