street_name,num_of_rooms,size,type,location,final_price,sold_month,sold_year,price_change,initial_price,floor_num,year_built
Hagagatan,2.5,71,Lägenhet, Vasastan Odenplan,6500000,nov,2019,5.7,6149479,2,1904
Upplandsgatan,2.0,61,Lägenhet, Vasastan Odenplan,5450000,dec,2019,3.8,5250000,2,1904
Norrbackagatan,2.0,59,Lägenhet, Vasastan Birkastan,5350000,nov,2019,8.1,4949121,2,1884
Tomtebogatan,2.0,37,Lägenhet, Vasastan Birkastan,3900000,sep,2018,14.7,3400174,2,1884
Värtavägen,1.0,28,Lägenhet, Östermalm Gärdet,3180000,dec,2019,24.7,2550120,2,1884
Porlabacken,3.0,70,Lägenhet, Hagsätra,1860000,dec,2019,-0.8,1875000,2,1884
Artillerigatan,2.0,45,Lägenhet, Östermalm,5700000,dec,2019,14.1,4995617,2,1884
Stora,108.0,37,Villa, Norra Ängby,7120000,sep,2019,-10.9,7991021,2,1884
Kärvbacken,89.0,112,Villa, Sundby,5300000,okt,2019,6.5,4976525,2,1884
Blomsterkungsvägen,117.0,10,Radhus, Hässelby Backlura,4150000,nov,2019,3.9,3994225,2,1884
Sankt,1.5,37,Lägenhet, Vasastan,3900000,dec,2019,11.6,3494623,2,1884
Mitisgatan,2.0,35,Lägenhet, Kungsholmen,3800000,dec,2019,26.9,2994483,2,1884
Skeppargatan,2.0,44,Lägenhet, Östermalm Nedre Gärdet,3920000,dec,2019,9.0,3596330,2,1884
Rörstrandsgatan,3.0,91,Lägenhet, Vasastan,9550000,dec,2019,15.8,8246977,2,1884
Responsgatan,1.0,34,Lägenhet, Telefonplan,2495000,dec,2019,-10.7,2793952,2,1884
Atlasgatan,1.0,27,Lägenhet, Vasastan,2980000,dec,2019,2.9,2896015,2,1884
Tallbacksvägen,2.0,55,Lägenhet, Bromma Ulvsunda,2900000,dec,2019,18.4,2449324,2,1884
Södra,2.0,65,Lägenhet, Kungsholmen,6500000,dec,2019,18.3,5495000,2,1884
Responsgatan,1.0,35,Lägenhet, Telefonplan,2295000,dec,2019,0.0,2295000,1,1957
Döbelnsgatan,1.0,30,Lägenhet, Vasastan,3420000,dec,2019,24.4,2749196,1,1957
Responsgatan,1.0,34,Lägenhet, Telefonplan,2250000,dec,2019,0.0,2250000,1,1957
Responsgatan,1.0,35,Lägenhet, Telefonplan,2345000,dec,2019,0.0,2345000,1,1957
Sandhamnsgatan,1.0,33,Lägenhet, Gärdet,2800000,dec,2019,0.0,2800000,1,1957
Hornsgatan,1.0,42,Lägenhet, Högalid,3300000,dec,2019,4.8,3148854,1,1957
Mirabellbacken,1.0,33,Lägenhet, Hässelby-Vällingby,1600000,dec,2019,46.1,1095000,1,1957
Maltesholmsvägen,2.0,46,Lägenhet, Hässelby-Vällingby,2180000,nov,2019,16.3,1874462,2,1954
Rissnavägen,3.0,80,Lägenhet, Spånga,1600000,nov,2019,1.6,1574803,2,1954
Astrakangatan,2.0,60,Lägenhet, Hässelby-Vällingby,2125000,nov,2019,18.4,1794763,2,1954
Östersundsgatan,4.0,91,Lägenhet, Hässelby-Vällingby,3400000,nov,2019,6.4,3195488,2,1954
Rabattvägen,3.0,70,Lägenhet, Hässelby-Vällingby,2600000,nov,2019,13.3,2294792,2,1954
Vittangigatan,1.5,32,Lägenhet, Hässelby-Vällingby,1875000,nov,2019,10.6,1695298,2,1954
Mörsilsgatan,3.5,80,Lägenhet, Hässelby-Vällingby,3000000,nov,2019,11.3,2695000,2,1954
